"Index","MXX.Open","MXX.High","MXX.Low","MXX.Close","MXX.Volume","MXX.Adjusted"
"2012-08-27",40216.960938,40317.300781,39951.679688,39972.851563,98252800,39972.851563
"2012-08-28",39965.851563,40045.269531,39736.988281,39950.898438,141457200,39950.898438
"2012-08-29",39950.648438,40130.488281,39893.621094,39908.898438,170575000,39908.898438
"2012-08-30",39910.171875,39950.589844,39740.050781,39925.691406,80252600,39925.691406
"2012-08-31",39885.390625,40166.589844,39390.578125,39421.648438,919109400,39421.648438
"2012-09-03",39409.429688,39807.378906,39409.429688,39802.941406,58421800,39802.941406
"2012-09-04",39803.46875,39803.46875,39487.53125,39549.429688,155210000,39549.429688
"2012-09-05",39550.089844,39705.070313,39524.449219,39573.921875,100835600,39573.921875
"2012-09-06",39572.519531,40056.460938,39572.519531,39987.058594,193597400,39987.058594
"2012-09-07",39990.441406,40216.890625,39970.851563,40043.871094,151910000,40043.871094
"2012-09-10",40045.230469,40168.53125,39822.421875,39991.191406,166905600,39991.191406
"2012-09-11",39988.21875,40165.351563,39952.160156,39998.96875,186773800,39998.96875
"2012-09-12",40006.480469,40299.679688,40006.480469,40248.378906,223067800,40248.378906
"2012-09-14",40651.929688,41155.359375,40504.371094,40693.46875,248140400,40693.46875
"2012-09-17",40700.429688,40831.21875,40456.941406,40621.460938,155743400,40621.460938
"2012-09-18",40621.460938,40700.398438,40498.050781,40590.960938,157762400,40590.960938
"2012-09-19",40602.371094,40945.03125,40591.53125,40941.308594,190858400,40941.308594
"2012-09-20",40934.070313,40934.070313,40500.050781,40500.351563,229653800,40500.351563
"2012-09-21",40497.511719,40637.03125,40286.640625,40338.699219,366635800,40338.699219
"2012-09-24",40338.679688,40574.238281,40171.53125,40561.21875,157469800,40561.21875
"2012-09-25",40560.351563,40655.191406,40213.671875,40215.351563,166184600,40215.351563
"2012-09-26",40216.871094,40333.28125,39758.238281,40332.980469,298427400,40332.980469
"2012-09-27",40335.269531,40829.019531,40330.378906,40729.699219,232780200,40729.699219
"2012-09-28",40729.699219,40867.621094,40535.140625,40799.238281,144234800,40799.238281
"2012-10-01",40876.96875,41162.328125,40876.96875,41124.558594,164113600,41124.558594
"2012-10-02",41128.910156,41287.660156,41069.519531,41199.289063,169622400,41199.289063
"2012-10-03",41199.289063,41250.230469,40978.199219,41004.839844,123544200,41004.839844
"2012-10-04",41005.140625,41489.351563,40996.710938,41421.738281,230228000,41421.738281
"2012-10-05",41421.738281,42030.601563,41421.738281,41934.078125,275760400,41934.078125
"2012-10-08",41946.308594,42046.449219,41754.140625,41756.960938,199266200,41756.960938
"2012-10-09",41760.960938,41992.820313,41655.640625,41755.160156,292517400,41755.160156
"2012-10-10",41762.96875,41770.351563,41468.679688,41470.050781,189250800,41470.050781
"2012-10-11",41482.660156,41745.390625,41482.660156,41745.390625,188274000,41745.390625
"2012-10-12",41750.730469,41841.558594,41635.050781,41665.480469,181423000,41665.480469
"2012-10-15",41671.628906,42008.550781,41634.558594,42008.550781,167333600,42008.550781
"2012-10-16",42008.71875,42521.898438,42003.398438,42518.351563,297097400,42518.351563
"2012-10-17",42526.039063,42750.988281,42428.511719,42559.980469,310769600,42559.980469
"2012-10-18",42561.679688,42699.789063,42420.738281,42592.78125,309468400,42592.78125
"2012-10-19",42592.441406,42704.820313,42223.191406,42386.828125,195664800,42386.828125
"2012-10-22",42384.398438,42404.71875,41905.601563,42122.25,153310800,42122.25
"2012-10-23",42112.070313,42159.761719,41743.109375,42041.140625,151400800,42041.140625
